일시,경기_수원시_kbs수원센터(kbs수원아트홀),경기_수원시_수원sk아트리움,경기_수원시_수원광교박물관,경기_수원시_수원박물관,경기_수원시_수원시립아이파크미술관,경기_수원시_수원월드컵경기장(축구박물관),경기_수원시_수원종합운동장(수원국민체육센터),경기_수원시_수원화성박물관,경기_수원시_해우재,경기_수원시_화성,경기_수원시_화성행궁(낙남헌),경기_성남시_남서울컨트리클럽,경기_성남시_성남가족캠핑숲,경기_성남시_성남아트센터,경기_성남시_신구대학교 식물원,경기_성남시_판교박물관,경기_성남시_한국잡월드,경기_안양시_김중업박물관,경기_부천시_웅진플레이도시- 골프연습장,경기_부천시_웅진플레이도시-워터파크&스파,경기_부천시_한국만화박물관,경기_광명시_광명도덕산캠핑장,경기_광명시_광명동굴,경기_광명시_광명스피돔,경기_동두천시_소요산관광지(자재암),경기_동두천시_자유수호평화박물관,경기_안산시_경기도미술관,경기_안산시_대부해솔길(구봉도공영주차장),경기_안산시_대부해솔길(종현어촌마을입구),경기_안산시_베르아델승마클럽,경기_안산시_성호기념관,경기_안산시_세종도예원,경기_안산시_수리산입구,경기_안산시_아일랜드리조트,경기_안산시_안산어촌민속박물관,경기_안산시_유리섬,경기_안산시_종이미술관,경기_고양시_123컨트리클럽,경기_고양시_KINTEX(한국국제전시장),경기_고양시_고양아람누리,경기_고양시_고양어린이박물관,경기_고양시_고양어울림누리,경기_고양시_고양원마운트,경기_고양시_고양종합운동장,경기_고양시_고양체육관,경기_고양시_뉴코리아컨트리클럽,경기_고양시_배다골테마파크,경기_고양시_서오릉,경기_고양시_아쿠아플라넷 일산,경기_고양시_중남미문화원,경기_고양시_쥬쥬테마동물원,경기_고양시_증권박물관,경기_고양시_한양컨트리클럽,경기_고양시_항공우주박물관,경기_고양시_행주산성,경기_과천시_경마공원,경기_과천시_국립과천과학관,경기_과천시_국립현대미술관 과천관,경기_과천시_서울랜드,경기_구리시_구리시 고구려 대장간마을,경기_구리시_동구릉,경기_남양주시_광릉,경기_남양주시_남양주유기농테마파크(남양주유기농박물관),경기_남양주시_모란미술관,경기_남양주시_몽골문화촌,경기_남양주시_서호미술관,경기_남양주시_양주컨트리클럽,경기_남양주시_우석헌자연사박물관,경기_남양주시_축령산자연휴양림,경기_남양주시_홍유릉,경기_오산시_경기도립 물향기수목원,경기_의왕시_바라산자연휴양림,경기_용인시_경기도 어린이 박물관,경기_용인시_골드컨트리클럽,경기_용인시_국가보훈처 88골프장,경기_용인시_글렌로스 골프클럽,경기_용인시_농도원목장,경기_용인시_레이크사이드컨트리클럽,경기_용인시_백남준 아트센터,경기_용인시_수원컨트리클럽,경기_용인시_아시아나컨트리클럽,경기_용인시_에버랜드,경기_용인시_용인 대장금 파크,경기_용인시_용인 자연휴양림,경기_용인시_용인농촌테마파크,경기_용인시_용인시박물관,경기_용인시_용인컨트리클럽,경기_용인시_은화삼컨트리클럽,경기_용인시_이영미술관,경기_용인시_캐리비안베이(워터파크),경기_용인시_코리아컨트리클럽,경기_용인시_태광컨트리클럽,경기_용인시_한국등잔박물관,경기_용인시_한국민속촌,경기_용인시_한성컨트리클럽,경기_용인시_한택식물원,경기_용인시_한화호텔앤드리조트(플라자CC),경기_용인시_호박등불마을,경기_용인시_호암미술관,경기_파주시_공릉관광지(하니랜드),경기_파주시_두루뫼박물관,경기_파주시_벽초지수목원,경기_파주시_산머루농원,경기_파주시_서서울컨트리클럽,경기_파주시_서원밸리골프클럽,경기_파주시_소울원,경기_파주시_쇠꼴마을,경기_파주시_영집궁시박물관,경기_파주시_임진각관광지,경기_파주시_통일전망대,경기_파주시_파주삼릉,경기_파주시_파주영어마을,경기_파주시_파주임실치즈스쿨,경기_파주시_헤이리예술마을,경기_파주시_황희선생유적지,경기_이천시_비에이비스타컨트리클럽,경기_이천시_이천시립월전미술관,경기_이천시_자연나라관광농원,경기_이천시_호텔미란다(이천스파플러스),경기_안성시_과채류마을,경기_안성시_구메농사마을,경기_안성시_꽃뫼마을,경기_안성시_너리굴문화마을,경기_안성시_미리내마을,경기_안성시_미리내성지,경기_안성시_서일농원,경기_안성시_선비마을,경기_안성시_신안컨트리클럽,경기_안성시_안성3.1운동기념관,경기_안성시_안성맞춤 천문과학관,경기_안성시_안성맞춤공예문화센터,경기_안성시_안성맞춤박물관,경기_안성시_안성맞춤캠핑장,경기_안성시_안성베네스트G.C.,경기_안성시_안성팜랜드,경기_안성시_안성허브마을,경기_안성시_용설호문화마을,경기_안성시_이경순소리박물관,경기_안성시_인처골마을,경기_안성시_조병화문학관,경기_안성시_청룡사,경기_안성시_칠장사,경기_안성시_파인크리크컨트리클럽,경기_안성시_풍산개마을,경기_안성시_향토사료관,경기_김포시_김포시사이드컨트리클럽,경기_김포시_김포청소년수련원,경기_김포시_김포함상공원,경기_김포시_다도박물관,경기_김포시_덕포진교육박물관,경기_김포시_아라뱃길김포터미널(유람선승선객),경기_김포시_약암관광호텔(입욕객),경기_김포시_장릉,경기_김포시_태산패밀리파크(체험프로그램),경기_화성시_우리꽃식물원,경기_화성시_융건릉,경기_화성시_향토박물관,경기_광주시_경기도자박물관,경기_광주시_남한산성 행궁,경기_광주시_일본군위안부역사관,경기_양주시_(재)송암스페이스센터,경기_양주시_국립아세안자연휴양림,경기_양주시_북한산국립공원,경기_양주시_양주시립장욱진미술관,경기_양주시_조명박물관,경기_양주시_회암사지박물관,경기_포천시_국립수목원,경기_포천시_비둘기낭캠핑장,경기_포천시_신북리조트 스프링폴,경기_포천시_어메이징파크,경기_포천시_포천아도니스컨트리클럽,경기_포천시_포천아트밸리,경기_포천시_포천한과박물관(한가원),경기_포천시_허브아일랜드,경기_여주시_강천보,경기_여주시_금은모래캠핑장,경기_여주시_명성황후생가,경기_여주시_목아불교박물관,경기_여주시_신륵사,경기_여주시_여주박물관,경기_여주시_여주시립폰박물관,경기_여주시_여주온천,경기_여주시_영릉(세종대왕),경기_여주시_이포보,경기_여주시_이포보오토캠핑장,경기_여주시_황학산수목원,경기_연천군_나룻배마을,경기_연천군_땅에미소,경기_연천군_수레울아트홀,경기_연천군_숭의전지,경기_연천군_신라경순왕릉,경기_연천군_재인폭포,경기_연천군_조선왕가,경기_연천군_한탄강관광지 오토캠핑장,경기_가평군_가평레일파크,경기_가평군_강씨봉자연휴양림,경기_가평군_고성청소년수련원(쁘띠프랑스),경기_가평군_남송미술관,경기_가평군_농촌체험마을,경기_가평군_대원사템플스테이,경기_가평군_백련사 템플스테이,경기_가평군_산장관광지,경기_가평군_서울학생교육원,경기_가평군_아침고요원예수목원,경기_가평군_연인산캠핑장,경기_가평군_유명산자연휴양림,경기_가평군_이화원,경기_가평군_자라섬캠핑장,경기_가평군_취옹예술관,경기_가평군_칼봉산자연휴양림,경기_가평군_크리스탈밸리컨트리클럽,경기_가평군_한화인재경영원,경기_양평군_곤충박물관,경기_양평군_국립산음자연휴양림,경기_양평군_국립중미산자연휴양림,경기_양평군_군립미술관,경기_양평군_농업박물관,경기_양평군_두물머리,경기_양평군_들꽃수목원,경기_양평군_몽양기념관,경기_양평군_민물고기생태학습관,경기_양평군_세미원,경기_양평군_소나기마을,경기_양평군_양평레일바이크,경기_양평군_용문산관광지,경기_양평군_지평의병 지평리전투기념관,경기_양평군_화서기념관
2013년 10월,,,,5086,,,,29549,17480,33538,38065,6594,,,,,,,,,,,,,41564,,,,,,,,,,,,,7866,760544,20087,,12459,29595,47480,76155,7709,20677,45045,,8772,32869,2626,15456,6505,7390,281625,289871,108137,250697,5197,12476,7620,,3205,2976,752,9115,11451,16957,7620,,,43413,18036,19545,7588,6990,23789,12418,14256,13863,891517,6215,24990,34646,3110,9970,8740,1572,22829,12455,20690,2292,140047,12993,15350,14278,5752,42051,15641,1956,44803,3955,9668,6542,,12690,1527,1514322,30014,7008,16350,13009,,6913,,,,,,,,11921,,14119,,,9230,,3863,,2093,,10120,34875,16600,,,,,,,10026,,,10010,,,,,,12902,20526,,32987,48322,,,,,,,35174,16095,,,61848,,19123,,13110,42358,4224,52206,,,20019,4045,20727,,,,97397,,,,1315,1156,9514,3038,2148,,364,15468,,3619,43814,432,1872,280,150,3322,3227,120362,2912,34690,7835,11100,809,2907,8665,1549,,,,,,,,,,,,,,,
2013년 11월,,,,53,,,,18752,10739,15824,19346,5342,,,,,,,,,,,,,23384,,,,,,,,,,,,,5055,263770,18824,,16247,27353,14300,72933,6579,2782,25602,,5794,6195,5141,11840,7221,19301,265553,174136,93718,102404,3146,5564,5385,,1255,853,801,7280,9594,9805,4042,,,47391,14537,14443,5893,2488,18125,11059,11723,10017,425592,2620,9487,4780,2569,8012,7130,1185,22439,9646,16035,1148,48215,10792,3864,11993,3216,24696,2576,1026,24557,2565,7664,5119,,4452,796,1500287,25109,3763,8300,7497,,3825,,,,,,,,3219,,8613,,,8055,,1593,,2854,,7796,6904,14312,,,,,,,7241,,,8052,,,,,,14292,10982,,5895,24086,,,,,,,21754,2315,,,33893,,25183,,9557,20224,2031,34287,,,8424,3043,12390,,,,28267,,,,332,1504,9274,2086,2129,,188,10566,,2652,34481,337,267,175,180,1660,2459,62748,2181,19066,6990,5464,554,2128,6629,3064,,,,,,,,,,,,,,,
2013년 12월,,,,0,,,,8750,10590,8863,12255,1285,,,,,,,,,,,,,4614,,,,,,,,,,,,,2218,285181,38068,,15368,86931,1680,65015,2030,14448,13524,,2546,2633,4155,4171,4304,22395,250354,177628,57270,230266,1699,2128,1158,,213,0,817,1413,6815,6698,864,,,40842,4493,4589,1950,318,4616,7670,3446,2682,374296,2071,5847,1017,2034,1116,1283,331,65110,3304,5775,490,31171,2936,771,2885,1588,5393,5495,604,12578,1436,1745,968,,1930,118,132070,20136,612,5750,2355,,1287,,,,,,,,1731,,5990,,,1719,,1512,,936,,2144,6469,12472,,,,,,,1297,,,2049,,,,,,18347,3229,,3728,7251,,,,,,,11870,137,,,5176,,24987,,1896,11674,1109,52236,,,5073,1005,7655,,,,15399,,,,67,844,6936,1680,904,,432,9222,,2936,30404,396,457,150,100,1170,2107,99727,1822,10681,5573,3000,289,1912,1497,2571,,,,,,,,,,,,,,,
2014년 01월,,,,5046,,,,10566,10341,12306,11519,1206,,,,4574,69407,,,,,,12669,,5371,,,,,,,,,,3406,7417,,1831,36390,9359,,6641,121443,1500,54296,1056,8186,15836,,2499,3519,1981,2012,4613,40656,253859,89666,60180,102665,1907,2537,2104,,320,708,2216,475,6846,3343,1734,3939,,58343,2358,2398,0,129,1676,15278,2765,575,335232,3055,6298,2018,2890,510,0,631,73202,2088,6777,654,51789,1271,1040,735,599,4887,9204,192,10828,1553,1617,0,,2674,185,130014,23131,802,3880,5153,,1615,,,,,,,,1871,,4599,,,280,,1669,,1450,,0,11681,9666,,,,,,,420,,,2549,3352,6207,4400,2645,16,22455,4414,127,4147,8415,697,,2392,324,,,15111,253,,,4185,,33850,,1192,13619,1213,53541,,,5139,253,12584,,,,15884,,,,1315,884,4592,3038,2148,,364,45146,,3129,34316,896,357,48,68,1052,806,122196,1942,6884,8426,5344,736,2919,0,3150,,,,,,,,,,,,,,,
2014년 02월,,,,3671,,,,7078,8929,12736,13432,1884,,,,3318,57717,,,,,,0,,4914,,,,,,,,,,3677,5427,,3006,391310,6728,,4483,89358,3500,52482,2169,3084,16478,,2192,3670,808,4128,2015,9706,194989,64836,52180,82475,1858,2737,2391,,283,1140,2408,1349,5280,4933,1277,6079,,41878,4912,4035,3463,232,4536,8367,3216,3542,347974,2843,6197,1308,1741,1733,0,385,69189,3644,7577,684,30139,2060,1213,2406,650,4597,3896,153,7186,1786,2252,1246,,1230,183,122643,14904,669,3972,2407,,1564,,,,,,,,1425,,3836,,,1278,,1307,,805,,3565,5843,9891,,,,,,,2035,,,3397,2860,6269,1880,1429,42,16242,4054,96,3866,8257,580,,2570,208,,,12063,1543,,,6411,,26122,,5914,12872,1110,33957,,,5503,292,16813,,,,13768,,,,332,948,4298,2086,2129,,200,21802,,2866,47827,415,442,52,39,1008,1181,92653,1326,6527,8242,3280,902,2085,725,2572,,,,,,,,,,,,,,,
2014년 03월,,,,2861,,,,9489,12338,23378,29537,4589,,,,2901,46755,,,,,,4655,,10384,,,,,,,,,,5148,7133,,6201,238834,9172,,8482,20815,7300,59530,6431,4446,30464,,2914,14814,365,13996,2067,21317,314140,68453,70371,125744,3947,6818,6508,,769,2019,3184,6224,9609,8995,3938,35326,,38082,14374,14789,6848,753,16661,11799,11744,10389,582224,6158,11080,7358,1826,5199,5771,848,8571,9138,13808,1112,71314,8804,5487,10312,685,11913,8149,368,8066,1828,6211,4604,,400,601,224269,22923,2238,7672,2219,,3619,,,,,,,,4723,,5558,,,6759,4796,1175,,1666,,11873,21636,17175,,,,,,,6788,,,7290,9075,11644,3810,933,1134,15138,9710,161,6795,20335,959,,3975,346,,,25346,2824,,,16296,,19787,,16888,24792,932,56351,,,9618,1718,19221,,,,24901,,,,67,840,6182,1680,904,,432,14962,,3036,55084,672,877,50,51,1586,1336,92025,3203,16354,9998,4716,1349,1372,6779,1969,,,,,,,,,,,,,,,
2014년 04월,,,,3473,,,,16995,10821,24128,28304,6340,,,,3051,50240,,,,,,15913,,10621,,,,,,,,,,3656,4172,,7091,401875,4988,,629,3102,7792,61523,7509,7604,36798,74019,3851,20371,1190,9566,2203,19722,168716,88868,85809,167798,4006,9188,9611,,1583,668,3204,7505,8473,11810,9189,76621,,25820,17868,17529,7448,3937,22544,9922,12718,12332,589549,5227,17613,42861,1388,6342,5819,801,18105,11321,15937,820,78026,10513,18422,12830,1502,54361,10954,870,15968,2331,7682,5807,,294,471,283668,26096,4644,7005,3352,,4501,,,,,,,,6244,,5261,,,8273,3632,1473,,1196,,13934,21250,18120,,,,,,,8340,,,8627,6262,12193,3300,1718,3818,10006,17736,662,6131,26573,1026,,5404,578,,,17309,2221,,,39158,,19245,,19060,24084,2344,51786,,,13961,2543,21870,,,,31453,,,,54,2052,3528,935,1775,,449,11256,,3568,49253,162,757,31,99,1839,1240,104502,3443,13456,8921,7872,2088,2047,8186,1458,,,,,,,,,,,,,,,
2014년 05월,,,,5621,,,,14914,14486,36463,41000,6061,,,,4184,42780,,,,,,25653,,11151,,,,,,,,,,4031,7474,,8030,314601,5805,,1646,3504,7207,66136,8183,17054,50634,139405,5840,32605,601,12016,2451,23679,314203,64662,69383,171716,1820,13839,15341,,3848,1801,3102,8293,11005,39358,8506,103072,,35565,21844,18232,8714,3545,27001,10570,14428,14547,641629,8162,25887,89011,2085,7524,8003,865,78536,11496,19704,1863,104037,11681,26117,14820,1832,14759,22305,1144,44494,1856,9319,7100,,592,763,315308,34234,5515,11527,2833,,6335,,,,,,,,2216,,7641,,,8054,3252,2235,,1815,,15419,53665,29160,,,,,,,9615,,,10571,320,15831,9900,1818,1125,12162,21395,868,8249,40502,1440,,12238,404,,,27421,6245,,,55924,,23144,,22027,47400,3111,76749,,,17767,3469,28609,,,,36755,,,,185,3745,9588,2231,1296,,816,16494,,4678,79119,406,1415,20,74,3507,0,160883,2384,24231,10175,12908,2971,2633,9416,969,,,,,,,,,,,,,,,
2014년 06월,,,,4086,,,,12690,11201,16472,22697,6514,,,,4015,53307,,,,,,36549,,9702,,,,,,,,,,5139,6700,,8694,290379,7710,,1294,76039,37858,62332,7988,9877,33838,103307,5445,17767,1101,11171,4038,12852,303270,60043,41378,114620,2902,26532,48754,,1359,1397,2013,8053,9967,14763,6451,57285,,40864,22437,18463,4518,3265,25526,6883,13497,14495,551580,3906,23391,28099,2979,7322,7050,790,230324,15339,19496,1431,70516,11202,11565,16206,2183,10743,10198,524,19028,2753,9946,7296,,145,708,274516,18098,4699,10290,3529,,5873,,,,,,,,2468,,10430,,,8740,2654,1895,,2398,,14789,25067,18650,,,,,,,9704,,,10867,476,12535,5230,1019,3953,9899,16397,610,9966,32318,1611,,9169,417,,,28368,12261,,,36050,,15294,,21151,28975,620,50238,,,11353,3050,23657,,,,28421,,,,358,3124,6001,1841,1813,,1081,15438,,5068,54303,347,1548,48,192,3263,370,88446,2430,32674,7217,10920,3050,2828,9055,1984,,,,,,,,,,,,,,,
2014년 07월,,,,4576,,,,10591,11019,11835,20018,5389,,,,3232,78019,,,,,,72861,,7678,,,,,,,,,,6301,5436,,5502,346350,10145,,2057,161787,13160,83488,6315,22486,26780,129883,4690,8671,2170,16711,2200,10764,271447,246995,46188,115560,1913,14516,9959,,247,4944,3249,7886,11666,14243,2574,24049,,44758,21910,18506,8209,1206,25172,9633,10698,11571,524807,2442,19363,12222,2713,5617,5401,1400,309632,14873,17197,2197,44581,9499,6392,15030,1230,9895,5394,674,11446,1874,6897,6382,,3610,361,319241,0,2148,8698,3540,,4186,,,,,,,,6789,,8449,,,8249,2111,1182,,1483,,14258,14111,12486,,,,,,,5814,,,9859,13027,7499,1656,1167,1638,8866,12219,882,5600,19314,1720,,11286,837,,,20556,18289,,,35337,,20113,,18857,26317,727,46051,,,7360,2690,10082,,,,21424,,,,429,2407,7035,1982,1612,,476,15150,,7559,45886,628,2887,213,276,4636,3051,63171,3769,19899,5921,9704,834,3092,9087,3893,,,,,,,,,,,,,,,
2014년 08월,,,,7532,,,,20187,15486,18355,33250,5341,,,,5468,96602,,,,,,161906,,7678,,,,,,,,,,7731,11660,,6203,495149,8066,,2685,195493,10828,71166,6479,19479,28956,52582,5863,15690,1970,14762,4196,15546,332342,432308,73811,144866,3287,17900,12511,,785,6895,3238,6454,14881,18033,4142,34853,,68993,19355,17895,8180,827,22379,15491,10016,11273,709271,5442,21984,14493,3591,5917,6740,990,440380,13789,17491,2468,77596,8134,6746,15554,1226,12538,8746,1033,19102,1922,7338,5836,,6306,693,409365,22502,3349,12693,4802,,5754,,,,,,,,4655,,10313,,,8331,3485,1984,,2208,,14152,21369,16704,,,,,,,6282,,,8763,7501,13241,2724,1540,3241,11437,11322,517,6935,23169,1394,,13802,1331,,,23109,21743,,,42545,,28372,,20009,57548,1642,86388,,,13162,4511,16853,,,,30923,,,,773,3672,7881,2399,1339,,1459,19920,,8686,80049,835,614,321,369,5355,4942,98001,5783,24839,6377,11200,1219,3899,9082,2046,,,,,,,,,,,,,,,
2014년 09월,,,,6049,,,,25635,14269,22105,32284,6298,,,,3028,55530,,,,,,48161,,9830,,,,,,,,,,6575,4905,,6378,376106,2741,,1934,41235,112500,64900,7317,10370,37241,57754,5838,21126,1216,14782,2120,22935,246184,186039,66144,206378,5694,24838,11492,,1651,5005,3051,7993,12742,10638,7801,45096,,32425,18205,17950,7891,3098,22252,8634,12411,11765,634722,5785,21564,19085,2019,6926,7181,820,100485,11755,18354,2252,173902,10763,7451,15091,1221,16647,10670,1831,21455,2501,8527,6407,,3886,831,365233,32829,6637,6982,4107,,4604,,,,,,,,5469,,14130,,,8882,2746,1473,,2803,,13045,28631,11364,,,,,,,6340,,,8453,2173,13850,4520,1647,3131,11374,15460,1491,8509,36204,2182,,13682,497,,,25585,7928,,,32976,,17872,,18431,39265,692,53693,,,10235,2453,12140,,,,29683,,,,380,2856,7720,401,720,,372,10554,,4188,39437,386,545,297,102,3299,3227,95158,2833,26438,5931,10448,1199,3375,8267,1309,,,,,,,,,,,,,,,
2014년 10월,,,,4720,,,,43093,18716,40138,69954,6458,,,,3137,80109,,,,,,41022,,46958,,,,,,,,,,6910,7132,,6652,510722,3670,,1808,23850,172630,76125,7534,20663,48119,35927,9805,29754,2049,14979,5159,42219,282051,132565,79173,285253,5599,31168,18657,,3009,13847,3120,8327,13283,12722,8535,87330,,39335,17228,18729,7497,6557,22089,10345,13096,12971,910341,7694,25584,3294,2300,8814,8381,800,32546,13087,19962,2490,187697,12296,16936,15834,4421,43381,13542,1989,32792,4275,9098,7265,,13657,1710,1401509,39130,9376,12208,12720,,6241,,,,,,,,12491,,17213,,,9826,3168,3169,,2095,,12639,49641,12253,,,,,,,9831,,,9714,2364,20068,3009,2181,8173,12524,20771,1665,29234,48109,2842,,32893,760,,,38901,11258,,,71083,,21588,,19770,58149,1466,78244,,,23092,4196,23210,,,,123420,,,,1116,2692,7154,428,794,,475,13530,,4236,64281,311,1965,22,470,3295,3477,116386,3715,32533,8497,10264,2001,3593,8465,1782,,,,,,,,,,,,,,,
2014년 11월,,,,4445,,,,18071,13855,19543,24319,5390,,,,3370,72234,,,,,,29872,,21741,,,,,,,,,,4455,6523,,4813,393699,3860,,3475,21552,159100,82873,6613,5471,29611,36101,6150,17210,2405,12339,6420,22226,299812,85823,57192,73854,3567,14518,8439,,789,6664,2981,7549,14944,7677,3630,31662,,42731,15158,16176,6424,2876,19127,6137,11491,10451,483361,2830,12221,6447,1862,7643,7869,520,29777,11438,16625,1341,61951,11242,3818,12851,2987,24085,3335,764,11812,1740,8212,5959,,2952,568,1634133,22703,5351,6535,4908,,3459,,,,,,,,4145,,12521,,,8342,2804,1245,,2827,,10604,12323,9340,,,,,,,8038,,,8331,2252,9347,1335,1735,3272,14028,12892,897,5850,26902,2361,,15328,728,,,26591,2733,,,33000,,25604,,16377,27303,887,43180,,,11836,2791,14813,,,,31196,,,,420,2284,7333,661,761,,676,9588,,2866,52872,647,572,9,350,2622,3685,59526,2248,17235,7330,4768,1981,2326,7203,1567,,,,,,,,,,,,,,,
2014년 12월,,,,2294,,,,9150,10283,6444,8923,709,,,,2907,74100,,,,,,18085,,3490,,,,,,,,,,2206,5916,,939,108826,5296,,2952,92348,3800,71782,1802,3956,9943,725644,1975,2955,4424,2704,3862,29198,258774,85376,59279,178609,626,3971,1018,,140,557,3025,915,8850,4784,1063,3084,,34674,3774,3789,1841,510,2912,4235,3347,1239,362376,1164,6577,1215,1401,563,964,307,74252,1870,4065,612,30080,2077,547,1849,592,4742,4038,353,22119,2113,1748,1231,,1910,97,129577,14530,722,2377,1430,,1372,,,,,,,,2256,,4163,,,1536,960,785,,832,,1100,7615,6540,,,,,,,411,,,2012,664,3452,1005,1024,3172,18366,3057,185,2519,6733,1607,,3119,203,,,11491,414,,,4973,,30514,,2444,14176,468,67305,,,4707,1285,10201,,,,12561,,,,269,2312,6014,123,662,,13057,7080,,2661,44203,401,455,7,370,1850,3535,91273,1591,8292,5855,2988,1199,2856,1428,351,,,,,,,,,,,,,,,
2015년 01월,,,,5882,,,,18922,12141,10479,12412,1844,,,,4689,77810,,,,,,0,56093,5237,,,,,,,,,,3626,5085,,1194,251497,3171,,195,134734,83238,81342,1011,13247,16010,74447,2326,8780,2029,2006,3825,37189,327746,113569,37789,126321,2267,4838,1999,,288,0,168,355,7012,5688,1741,4040,,57349,3583,1957,1979,0,403,5001,2651,1052,363681,2088,7968,1674,3085,749,457,182,89476,2296,3505,679,54079,1231,732,1920,300,4827,8311,578,21890,1587,1314,1146,,2065,361,136874,24348,1085,6997,2768,,1899,4662,,,,,52,,2168,35,4448,,,1916,1248,848,,1582,,0,14433,9368,,,,,,,0,28,,2994,3223,6258,963,1243,126,22885,4185,189,3913,8553,2312,,4383,0,,,15481,990,,,5956,,43092,3851,3010,20868,880,79196,14698,,5486,1906,14449,,,,16768,,,,220,3024,4503,312,264,,140,17343,,2886,50713,163,1300,92,87,1646,890,112574,2252,10310,7889,5116,0,3316,0,2949,,,,,,,,,,,,,,,
2015년 02월,,,,2989,,,,12826,9574,10681,11371,3124,,,,3164,54294,,,,,,0,49132,4654,,,,,,,,,,2824,6989,,2109,314995,443,,312,66187,85364,77488,2481,3303,16424,61183,1756,8709,526,6328,1811,8695,220728,63480,37787,117000,2092,5030,3470,,178,0,2087,2005,5552,5501,1555,5125,,95404,6383,4111,3460,24,3865,9832,3703,2870,300923,2908,7042,1443,1427,1642,1358,169,87807,4357,4106,687,57652,2531,1075,3952,700,4156,4155,286,13664,1531,4130,1830,,915,128,151287,19356,1294,3510,2247,,1965,6178,,,,,21,,1530,134,4064,,,2070,1444,428,54,972,,4354,5396,9356,,,,,,,2116,41,,3760,1648,5885,875,921,248,20653,4945,101,3833,9408,1114,,4579,0,,,14234,1023,,,5959,,35906,3500,7576,18900,665,51225,17100,,6631,1479,14593,,,,17802,,,,210,2388,2842,527,488,,184,11738,,2770,43713,284,1121,101,99,1178,466,74201,1920,8809,7923,2880,0,2115,1802,1856,,,,,,,,,,,,,,,
2015년 03월,,,,4420,,,,13016,13162,21499,19515,4333,,,,3174,37070,,,,,,0,54190,9562,,,,,,,,,,3404,6871,,4728,296614,1267,,1082,14435,153713,88897,5585,4923,27060,61403,2560,20748,696,13531,2429,18678,344304,53974,46295,127757,3525,12834,5620,,575,1387,134,6585,7614,11147,3438,27315,,125050,12971,15073,7506,627,16940,14437,10132,9657,573206,4822,12087,8583,1816,4168,5634,300,3324,9048,9654,896,78593,7709,4032,12095,405,8575,6492,233,7498,1536,7463,4384,,484,181,211688,20249,2275,6377,2066,,3240,15871,,,,,25,,3870,0,6150,,45,6475,4232,691,548,1256,,11508,26165,17216,,,,,,,6420,260,,7215,3403,8729,1425,917,2056,16318,10057,258,9398,18964,1439,,6993,0,,,21673,3089,,,13742,,24947,6257,16679,23086,562,55966,32764,,8387,1989,21949,,,,20730,,,,265,2444,2447,892,756,,271,22885,,4280,78105,466,1521,90,47,1285,896,54768,2784,10161,5971,3440,400,1412,7149,837,,,,,,,,,,,,,,,
2015년 04월,,,,4523,,,,31207,13643,30787,29245,5889,,,,4096,60656,,,,,,37641,47854,10314,,,,,,,,,,3931,3970,,5670,1006735,2476,,1267,26908,9100,65532,7846,15358,37529,46738,5262,41817,1437,14598,1847,18482,315566,111506,81215,198150,4226,19629,8225,,1912,7560,856,8022,7989,13454,12432,78419,,32400,16422,17298,7870,5404,21607,6219,11890,11984,663131,5668,18298,40725,1913,5505,7685,400,21456,11837,15427,830,125983,10170,21597,12270,918,52074,17140,608,47218,1606,8849,6194,,7925,495,280056,28962,6657,8107,6878,,5272,17517,,,,32,260,,9820,170,8807,,60,8550,3006,936,454,1881,,13036,41807,18440,75,73,318,100,259,921,9215,249,,8916,3329,10599,1221,1531,7142,12774,19356,1208,21989,27333,1829,,10061,0,,,21796,5925,,,42255,,12055,5852,20035,28722,392,65199,34393,,13986,2971,23229,,,,36336,,,,438,2188,4674,1764,1196,,477,21643,,4270,45189,496,3495,95,149,1888,1507,124954,2196,16320,5891,5524,1797,2099,8221,618,,,,,,,,,,,,,,,
2015년 05월,,,,19842,,,,39819,21717,44237,48887,6691,,,,5949,68902,,,,,,117076,59133,11549,,,,,,,,,,6804,9788,,7525,252422,5209,,1706,63655,69100,62727,9148,22690,54495,77451,7736,54694,1495,17130,1713,17959,396396,129231,106270,262073,5578,34373,15057,,3018,14671,862,8776,10440,54454,12486,104458,,46297,22300,20474,9237,6691,25982,8195,13421,15254,949264,10848,30839,83927,1934,7183,8887,490,100814,15594,19914,1906,179715,12639,31615,16095,897,34407,29722,1043,72089,1696,11563,7301,,10592,1117,383262,41968,8656,14290,5401,,8118,21100,,,,78,121,730,9968,286,15813,,100,9628,3026,1476,1548,1720,,15582,69760,28028,235,47,288,214,245,635,11904,152,75,11326,5730,16871,1861,2013,7993,13913,25523,1682,42016,46704,2373,,14573,0,,,31250,13426,,,60069,,21198,14954,24155,58565,1104,97019,59605,,21482,3721,38828,,,,58248,,,,655,3416,3251,2502,1605,,2090,48762,,5274,81210,618,7869,186,316,5002,3556,211481,6412,33691,7001,8408,3245,3131,10210,1230,,,,,,,,,,,,,,,
