지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
108,서울,2015-03,6.3,12.4,1,21.9,-6.9,20150320,20150310,1010.7,1021.3,1035.8,1008.7,20150325,20150318,4.4,14.3,1.2,20150331,20150310,-6,45,9,20150322,9.6,5.5,,,20150303,,,87.4,5,,,20150322,,3.1,9.1,16.3,290,250,20150310,20150311,270,2.8,1,270.8,73.07,458.62,,,,,,-4.5,-11.4,20150311,7.8,6.5,6.4,6.4,5.9,6.7,6.7,7.2,11.1,14.4
108,서울,2015-04,13.3,18.8,8.4,28.3,3.5,20150430,20150408,1005.5,1015.8,1027.6,995.6,20150408,20150402,8,19.9,3.1,20150402,20150426,2.9,55,11,20150418,80.5,28,16.5,8.5,20150402,20150402,20150402,104.8,6,78.3,5,20150425,20150427,3.1,10.4,16.4,230,250,20150402,20150403,70,5,2.8,216,54.71,449.84,,,,,,4.7,-1.7,20150409,14.9,14,13.4,13.2,12.2,12.4,11.4,11,11.4,13.7
108,서울,2015-05,18.9,24.9,13.6,32.2,8.3,20150528,20150505,999.4,1009.4,1018.8,996.8,20150511,20150512,11,20.8,3.1,20150503,20150504,7.5,53,12,20150517,28.9,14,6.5,3,20150511,20150511,20150511,149.3,7.3,114.6,6,20150527,20150527,3,11.1,17.2,230,230,20150512,20150512,270,4.1,2,290.4,66.03,602.95,,,,,,9.7,3.1,20150505,23.8,22,20.9,20.3,18.9,18.1,16.4,15.4,12.8,13.6
108,서울,2015-06,23.6,29.5,18.9,34.9,15.6,20150610,20150621,996.9,1006.7,1015.5,994.9,20150607,20150630,16.8,25.2,5.6,20150630,20150603,14.4,60,13,20150603,99,44.5,25.5,10.5,20150620,20150620,20150620,144,8.5,109.4,7.3,20150603,20150603,2.5,7.8,14.4,250,20,20150612,20150603,270,5.6,3.1,258.1,58.39,530.22,,,,,,16.2,10.1,20150601,27.3,26.1,25.1,24.6,23.2,23.2,20.8,19.5,14.8,14
108,서울,2015-07,25.8,30,22.6,36,18.2,20150711,20150704,996.8,1006.5,1014.9,987.1,20150710,20150713,23.4,33.2,10.9,20150722,20150702,19.6,71,28,20150702,226,80,31,9.5,20150725,20150725,20150725,103.4,8,80,7.6,20150703,20150703,2.8,8,14.4,230,270,20150713,20150713,70,7,4.6,176.1,39.23,428.46,,,,,,20.8,14.9,20150704,27.9,27.3,26.6,26.3,25.1,25.3,23.4,22.3,17.1,14.9
108,서울,2015-08,26.3,30.8,22.8,34.4,18.9,20150807,20150826,998.5,1008.2,1015.4,1000.7,20150808,20150825,23.5,32.8,13.1,20150807,20150827,19.9,70,29,20150827,72.9,29,21.5,15.5,20150816,20150816,20150816,104.1,6.6,79.6,5,20150804,20150806,2.4,8.1,14.2,290,320,20150808,20150808,50,5.6,3.6,207,49.1,436.33,,,,,,20.1,14.6,20150829,28,27,26.7,26.6,25.6,26.2,24.8,23.6,18.7,15.6
108,서울,2015-09,22.4,28.1,17.5,31,14.2,20150922,20150927,1004.1,1014,1024.9,1005.3,20150929,20150925,14.8,24.4,6.2,20150904,20150927,12.4,56,15,20150927,26,18,16.5,12,20150903,20150903,20150903,115.2,5.7,91.9,5,20150915,20150915,2.3,6.7,12.7,230,70,20150902,20150906,70,3.8,2.2,262.1,70.17,458.73,,,,,,13.2,7.3,20150927,25.1,23.8,23.8,24,23.3,23.9,23.6,23.2,19.8,16.8
108,서울,2015-10,15.5,21.2,10.8,26.6,1.1,20151017,20151031,1008.2,1018.4,1032,993.9,20151031,20151001,10.8,20.4,2.7,20151001,20151030,7.1,61,17,20151009,81.5,35,16.5,5.5,20151001,20151001,20151024,84,6,62.4,5.4,20151009,20151009,2.3,8.6,16,250,270,20151002,20151002,270,2.8,1.8,239.7,68.72,359.17,,,,,,6,-4.7,20151031,16.3,16,16.6,17.6,17.6,19,20.5,21.1,19.9,17.5
108,서울,2015-11,8.9,12.7,5.9,21,-7.3,20151112,20151127,1012.9,1023.4,1031.4,1012.7,20151128,20151114,8.6,15.5,2.3,20151114,20151127,4,74,23,20151101,104.6,24.5,,,20151107,,,27.7,2.3,,,20151117,,2.7,7.7,13.2,70,90,20151106,20151106,70,6.6,4.4,109,35.64,177.93,,,,,,3,-8.4,20151127,9.5,9.4,10,11.1,11.4,12.9,15.4,17,18.8,17.8
108,서울,2015-12,1.6,6,-2.1,12.2,-9.5,20151213,20151228,1014.8,1025.6,1037.5,1010.1,20151219,20151203,4.3,10.9,1,20151202,20151228,-5.9,60,19,20151225,29.1,13.5,,,20151202,,,30.7,1.9,,,20151225,,2.3,8,16.8,320,320,20151203,20151202,70,4.1,2.7,177.8,59.48,206.35,6.5,6.5,7.5,20151203,20151203,-5.4,-13.6,20151229,2.2,2.2,2.9,4.3,4.8,6.3,9.7,12.2,16.8,17.7
108,서울,2016-01,-3.2,1.1,-6.8,9.5,-18,20160102,20160124,1014.5,1025.5,1034.2,1011,20160123,20160118,2.8,9,.7,20160102,20160124,-12,53,17,20160131,1,.4,,,20160113,,,38.2,2,,,20160131,,2.5,9,15.1,340,340,20160119,20160118,320,4,2.6,196.1,63.86,246.52,.5,.5,1.4,20160126,20160126,-10.3,-18.7,20160124,-1.4,-1.5,-.6,.7,1.3,2.8,6,8.5,14.4,16.6
108,서울,2016-02,.2,5.1,-4.1,14.4,-10,20160213,20160215,1013.3,1024.2,1035.3,999.3,20160225,20160213,3.5,15.1,1.1,20160213,20160215,-9.4,52,16,20160226,47.6,21,,,20160213,,,45.4,2.7,,,20160221,,2.8,7.6,14.4,250,320,20160218,20160208,320,3.7,2.3,195.2,62.26,288.43,5,5,6.5,20160228,20160228,-7.9,-15.9,20160203,1.1,.7,.6,1.2,1.3,1.9,4,6.2,12.3,15.4
108,서울,2016-03,7,12.6,2.4,21.4,-7.5,20160331,20160301,1010.9,1021.5,1030.2,1009.1,20160301,20160318,5.2,13.8,1.3,20160305,20160301,-3.5,51,15,20160331,40.5,40,,,20160305,,,83,4.5,,,20160305,,2.4,7.1,12.7,270,290,20160302,20160329,320,3.6,1.9,253.7,68.29,432.76,,,,,,-1.5,-9.9,20160301,9.1,7.7,7.5,7.4,6.9,6.9,6.8,7.4,10.9,14.1
108,서울,2016-04,14.1,20.3,9.1,29.6,5.1,20160426,20160404,1003.2,1013.3,1024.6,986.5,20160419,20160417,8.3,15.2,3.2,20160421,20160423,3.6,55,13,20160424,76.8,23.5,7.5,2,20160416,20160417,20160417,97.4,5,67.8,4,20160411,20160429,2.4,8,16.7,320,290,20160417,20160417,320,4.8,2.6,219.5,55.47,460.4,,,,,,5.3,-.8,20160404,17,15.5,14.8,14.5,13.5,13.3,11.9,11.2,11.2,13.3
108,서울,2016-05,19.6,25.7,14.1,31.9,8.9,20160519,20160503,1001.3,1011.3,1024.3,989.4,20160514,20160503,12,20.6,5,20160515,20160521,9.1,56,10,20160520,160.5,45,12,3.5,20160515,20160515,20160515,130.7,8.5,96.3,7.1,20160521,20160521,2.4,8.7,18,270,290,20160503,20160504,270,4.6,2.5,280.1,63.57,594.54,,,,,,10.8,3.6,20160505,23.2,21.2,20.4,19.9,18.6,18.7,16.7,15.4,12.7,13.1
108,서울,2016-06,23.6,28.7,19.5,32.2,17.1,20160605,20160601,997.6,1007.4,1013.8,996.5,20160606,20160624,17.9,30,8.8,20160622,20160602,15.5,63,21,20160605,54.4,30.5,26,16.5,20160622,20160622,20160622,132.4,8,97.6,7.7,20160622,20160622,2.1,6.8,10.5,340,250,20160622,20160625,270,5.3,3.3,229.7,51.97,508.07,,,,,,16.5,12.6,20160602,28.2,25.6,24.9,24.4,23,23.2,20.9,19.3,14.8,13.6
108,서울,2016-07,26.2,29.8,23.3,34.1,19.8,20160722,20160716,997.8,1007.5,1015.5,998.4,20160707,20160701,24.4,32.4,16.8,20160729,20160703,20.6,73,37,20160719,358.2,108.5,51.5,20.5,20160701,20160729,20160701,134,7.7,94,5.4,20160709,20160709,2.1,6.1,11.2,200,290,20160727,20160705,270,7.2,4.4,160.4,35.76,403.01,,,,,,21.2,17.3,20160707,28.3,26.9,26.4,26.1,24.7,25.2,23.5,22.2,17.4,14.8
108,서울,2016-08,28,32.6,24.5,36.6,16.1,20160821,20160831,996,1005.6,1012.5,987,20160827,20160831,24,34.4,9.3,20160819,20160827,20,64,27,20160827,67.1,20,11.5,4.5,20160826,20160819,20160819,168.3,8.1,117.9,5.7,20160826,20160826,2.1,7.3,13.6,70,70,20160826,20160826,270,4.6,3.3,236.1,56.11,468.05,,,,,,22.3,14.2,20160827,31.9,29.2,28.7,28.4,27.1,27.7,26,24.5,19.2,16
108,서울,2016-09,23.1,27.9,19.3,31.1,14.3,20160905,20160921,1003.3,1013.2,1023.2,996.6,20160921,20160901,18,24.9,8.4,20160906,20160920,15.5,65,26,20160920,33,13.5,4.5,3,20160927,20160902,20160902,127.9,7.4,89.3,5.2,20160920,20160920,2,8.1,15.7,200,180,20160901,20160901,50,5.8,3.1,191.6,51.41,370.92,,,,,,17.1,10.8,20160921,24.9,23.9,23.8,23.8,23.3,24.5,24.3,23.9,20.5,17.2
108,서울,2016-10,16.1,21.3,11.6,29,.7,20161004,20161031,1009,1019.2,1032.2,1006.3,20161030,20161003,11.7,25.2,2.2,20161003,20161030,8.2,62,13,20161030,74.8,37,10,2.5,20161025,20161025,20161025,106.4,6.6,74.4,4.6,20161004,20161004,2.1,6.3,12.8,50,20,20161023,20161023,50,5.3,2.8,195.7,56.27,318.14,,,,,,8.8,-3.5,20161030,17,17.2,17.6,18.3,18.3,19.9,21,21.6,20.5,18
108,서울,2016-11,6.8,11.6,2.8,18.6,-6.2,20161119,20161124,1012.6,1023.2,1034.8,1011.5,20161129,20161105,6.2,15.5,1.5,20161114,20161124,-1.8,57,19,20161120,16.7,5.5,,,20161107,,,69.6,3.6,48.8,2.5,20161106,20161106,2.2,6.1,9.8,290,180,20161122,20161104,290,4.7,3.7,173.3,56.76,235.03,.8,.8,.9,20161126,20161126,-.2,-9.6,20161124,7.2,8.3,9,10,10.9,12.1,14.9,17.2,19.4,18.3
108,서울,2016-12,1.2,5.8,-2.7,13.6,-9.8,20161220,20161216,1014.2,1025,1035.2,1003.9,20161230,20161222,4.2,12.4,1.3,20161222,20161216,-6.4,59,16,20161206,61.1,29,,,20161221,,,50,2.9,34.9,2.1,20161201,20161201,2.2,7.2,12.9,50,270,20161221,20161201,270,4.7,3.5,166.4,55.71,205.35,1,1,1.5,20161229,20161229,-5.6,-12.3,20161216,1.6,2.7,3.3,4.3,5.2,6.1,9.2,12.3,17.1,17.9
108,서울,2017-01,-1.8,2.9,-5.8,11.4,-12.6,20170106,20170123,1014.7,1025.6,1036.9,1011.9,20170125,20170108,3.2,7.8,.9,20170102,20170115,-10.3,55,17,20170128,14.9,4.5,,,20170129,,,52.2,2.5,36.7,1.7,20170112,20170112,2.3,7,13.1,290,270,20170114,20170110,270,3.5,2.3,209,67.97,256.11,6.6,6.6,14.3,20170120,20170120,-9.6,-18.8,20170124,-.7,.2,.8,1.7,2.5,3.4,6.1,8.9,14.5,16.9
108,서울,2017-02,-.2,4.8,-4.7,12.3,-9.3,20170228,20170210,1012.6,1023.5,1034.4,1006.1,20170214,20170220,3.3,10.6,1.2,20170216,20170202,-9.2,54,18,20170227,11.1,5.1,,,20170222,,,63.1,3.9,44.2,2.8,20170227,20170227,2.4,7.8,12.3,290,290,20170220,20170220,270,2.8,2,210,69.31,311.86,.8,,,20170201,,-8.6,-13.5,20170213,1,.6,.5,1.1,1.5,2,4.2,6.7,12.4,15.7
108,서울,2017-03,6.3,12.3,1.7,18.9,-5.3,20170319,20170308,1009,1019.6,1028.6,1009.3,20170319,20170309,4.5,10.4,1.5,20170331,20170307,-4.9,48,15,20170318,7.9,5,,,20170301,,,116.9,5.4,81.8,3.8,20170319,20170319,2.4,8.5,17.9,320,320,20170327,20170327,270,3.9,1.8,255.2,68.73,444.9,,,,,,-2.7,-8.7,20170308,8.1,7.1,6.9,6.8,6.7,6.5,6.6,7.5,11,14.4
108,서울,2017-04,13.9,20,9.1,27.8,3.1,20170430,20170402,1002.6,1012.8,1025.8,995.4,20170404,20170418,8,14.5,1.3,20170430,20170412,2.9,52,10,20170412,61.6,37.5,8.5,2.5,20170405,20170405,20170418,165.8,9.1,116.1,6.4,20170426,20170426,2.6,8.1,15.6,200,180,20170414,20170414,270,4.4,2.3,259.7,65.66,488.91,,,,,,5.2,-1.5,20170403,16.9,14.7,14.1,13.5,13.2,12.8,11.5,11,11.3,13.5
108,서울,2017-05,19.5,25.4,14.4,30.3,10,20170530,20170506,1002,1012,1022.9,999.1,20170503,20170531,11.4,18.9,2.8,20170531,20170506,8.3,52,7,20170530,16.1,6,6,3.5,20170513,20170513,20170513,215.3,9.9,150.4,7,20170519,20170519,2.4,8.5,15.7,230,180,20170513,20170513,270,3.9,2,301.5,68.48,645.35,,,,,,10.3,4.5,20170506,25,21.3,20.7,19.6,19,18.8,16.6,15.1,12.7,13.3
108,서울,2017-06,23.3,28.8,18.7,34.1,14.5,20170623,20170606,998.4,1008.2,1016,996.4,20170606,20170601,15.7,24.9,5.5,20170626,20170610,13.1,57,14,20170610,66.6,29,17,4.5,20170626,20170626,20170626,214.6,11.3,150.3,7.9,20170611,20170611,2.4,6.4,12.1,180,250,20170626,20170601,270,4.7,2.9,285.2,64.51,625.27,,,,,,15.8,9.8,20170611,28.6,25.6,25,24.1,23.4,23.2,20.8,18.9,14.7,13.7
108,서울,2017-07,26.9,30.4,24.3,35.4,21.9,20170725,20170703,997.5,1007.2,1013.3,999.7,20170716,20170710,26.9,35.6,17.3,20170723,20170727,22.2,77,38,20170725,621,144.5,53,16,20170710,20170703,20170702,122.7,7.9,85.6,5.5,20170725,20170725,2,7.3,13.3,290,270,20170702,20170702,230,7.9,5.5,123.1,27.44,375.27,,,,,,23.1,20.9,20170701,28.3,27.6,27.4,26.5,26.5,26.4,24.7,23.4,18.7,15.2
108,서울,2017-08,25.9,29.7,22.9,35.3,16.1,20170804,20170830,997.7,1007.4,1017.1,995.9,20170827,20170809,23.7,34,6.7,20170823,20170830,19.7,71,19,20170825,297,124.5,35.5,13,20170820,20170815,20170820,139.1,8.2,97,5.7,20170826,20170826,2.3,7.7,15.3,200,230,20170824,20170824,70,7,4.4,166.2,39.47,411.09,,,,,,21.2,13.7,20170831,27.7,26.9,27,26.2,26.6,26.7,25.8,24.9,20.8,16.8
108,서울,2017-09,22.1,27.4,17.5,31.4,11.2,20170926,20170929,1003.1,1013,1022.7,1004,20170930,20170917,16,25,2.8,20170919,20170926,13.6,61,20,20170929,35,24,9,5,20170911,20170911,20170919,147.3,7.7,103.1,5.4,20170915,20170915,2,6.8,12.1,230,250,20170919,20170919,50,4.2,2.2,233.7,64.75,445.23,,,,,,14.5,7.3,20170929,24.2,23.5,23.6,23.1,23.5,23.6,23.7,23.6,21.2,18
108,서울,2017-10,16.4,22.5,11.6,29.4,2.5,20171002,20171030,1010.7,1020.9,1029.2,1008.9,20171015,20171002,10.7,23.2,2.2,20171011,20171030,7,56,16,20171030,26.5,20,6,2.5,20171011,20171011,20171011,94.6,4.7,66.5,3.3,20171002,20171002,1.9,7.6,12.9,270,250,20171029,20171029,70,4.5,2.5,222.7,66.14,240.97,,,,,,7.5,-5.9,20171031,16.8,17.7,18.2,18.4,18.9,19.5,20.9,21.6,20.8,18.5
108,서울,2017-11,5.6,10.5,1.3,18.4,-6.6,20171107,20171119,1012.4,1023,1031.4,1010,20171130,20171110,5.4,15.7,.9,20171102,20171130,-3.9,54,13,20171130,40.7,24,,,20171125,,,57.9,3.7,40.7,2.6,20171108,20171108,2.1,6.7,13,290,320,20171115,20171115,270,4.2,3.3,163.9,59.45,145.34,1.5,1.5,1.5,20171124,20171123,-4.4,-13.1,20171119,5.4,7.5,8.6,9.7,10.6,11.8,15.2,17.6,19.6,18.6
108,서울,2017-12,-1.9,2.2,-5.7,8.7,-12.3,20171223,20171212,1015.1,1026,1034.4,1008.3,20171214,20171224,3.3,8.2,.8,20171224,20171227,-10.3,56,14,20171226,34.8,20,,,20171224,,,36.9,2.2,26.2,1.5,20171204,20171226,1.8,6.7,14.2,290,320,20171204,20171210,290,3.9,3.1,176.1,58.96,151.69,5.1,5.1,12.8,20171218,20171218,-9.8,-16.2,20171213,-1.5,0,.8,1.9,2.8,4.4,8.2,11.6,17.1,18.1
108,서울,2018-01,-4,.1,-7.3,8.7,-17.8,20180117,20180126,1013.5,1024.6,1033.8,1007.5,20180112,20180108,2.5,7.3,.5,20180115,20180125,-13.9,48,16,20180121,8.5,3.3,,,20180122,,,39.2,1.9,27.4,1.3,20180102,20180102,1.9,7.2,12.2,320,290,20180124,20180129,290,4.3,2.7,186.7,65.01,158.99,3.5,3.5,6.9,20180131,20180130,-11.7,-20.2,20180127,-2.8,-1.6,-.9,.1,.8,2,4.9,7.8,14.1,17
108,서울,2018-02,-1.6,3.3,-5.9,10.4,-13.4,20180226,20180207,1012.8,1023.8,1031.2,1002.3,20180202,20180228,2.6,7.5,.7,20180228,20180210,-13,45,13,20180221,29.6,25,,,20180228,,,65.7,3.7,45.8,2.6,20180220,20180220,2.2,6.3,12.2,320,230,20180210,20180213,290,3.9,2.2,194.2,66.53,309.28,4.1,3.7,4.4,20180223,20180223,-11.8,-21.4,20180207,-1.1,-1,-1,-.7,-.4,.6,3.1,5.7,11.9,15.6
108,서울,2018-03,8.1,13.6,3.8,22.1,-6.7,20180314,20180302,1009.9,1020.3,1031.2,1002.4,20180307,20180301,6.6,15.8,1.5,20180315,20180302,-.2,59,13,20180303,49.5,27,,,20180315,,,107.2,5.7,74.9,4,20180330,20180330,1.9,6.9,12.8,290,90,20180301,20180320,290,5.2,4.1,209.1,56.38,446.41,,,,,,-.4,-10.1,20180302,8.4,8.1,7.5,6.8,6.3,6,5.6,6.4,10.4,14.2
108,서울,2018-04,13,18.5,8.1,26.3,.1,20180420,20180409,1005.4,1015.6,1025.3,1003.6,20180413,20180410,8,16.4,2.1,20180430,20180407,2.6,55,8,20180421,130.3,59,8.5,2.5,20180423,20180423,20180423,151.3,9.2,105.8,6.4,20180421,20180421,2,8.8,15.9,200,230,20180410,20180410,290,4.7,3.3,223.4,56.54,513.19,,,,,,3.2,-5.9,20180408,14.5,13.6,13.3,12.8,12.4,12.3,11.2,10.7,10.8,13.2
108,서울,2018-05,18.2,23.3,13.4,29.6,6.9,20180526,20180503,1001.3,1011.2,1024.4,1000.8,20180510,20180502,13.1,26.4,4.8,20180517,20180521,10.1,63,22,20180525,222,83,35,13.5,20180517,20180516,20180516,159.4,8.2,111.2,5.8,20180526,20180524,1.7,8,13.4,290,270,20180517,20180517,290,5.4,3.5,231.6,52.66,561.24,,,,,,10.1,3.1,20180504,21.1,19.7,19.3,18.7,18.1,17.7,15.9,14.7,12.6,13
108,서울,2018-06,23.1,28.4,18.9,32.9,16.3,20180625,20180616,997.8,1007.6,1016.7,997,20180602,20180628,17.3,30,8.7,20180630,20180602,14.9,63,19,20180603,171.5,71.5,22.5,11,20180626,20180628,20180628,182.6,10,127.9,7,20180602,20180602,1.7,5.7,10.5,200,160,20180626,20180626,290,5.9,3,236.6,53.51,602.59,,,,,,15.2,10.5,20180603,27.9,25.4,24.9,24,23.3,22.8,20.6,18.8,14.7,13.5
108,서울,2018-07,27.8,32.1,24.2,38.3,17.7,20180731,20180708,998.9,1008.5,1016.3,995.2,20180709,20180704,24.6,35.2,11.2,20180728,20180708,20.6,68,29,20180721,185.6,83.5,25,9.5,20180701,20180702,20180701,179,9.2,124.9,6.4,20180721,20180722,1.5,4.2,8.4,200,290,20180714,20180711,290,5.1,3.7,228.5,52.64,561.1,,,,,,21.4,15.8,20180708,31.3,28.7,28.1,27.2,26.5,26.1,23.9,22.3,17.9,14.8
108,서울,2018-08,28.8,33.3,25.2,39.6,20.2,20180801,20180827,997.4,1007,1014.1,990.1,20180817,20180824,24.9,36.1,12.7,20180812,20180817,20.8,65,25,20180817,202.6,96.5,43.5,25.5,20180828,20180828,20180828,175.1,9.4,122.4,6.6,20180801,20180801,1.7,7.1,17.8,180,160,20180821,20180821,290,5.8,3.7,232.5,55.19,517.16,,,,,,22.3,16.1,20180826,31.8,30.2,29.9,29.1,28.7,28.4,26.7,25.1,19.7,15.9
108,서울,2018-09,21.5,26,17.6,30.9,10.8,20180901,20180925,1003.3,1013.2,1023.1,995.3,20180911,20180904,15.4,29.7,6.8,20180903,20180930,12.9,61,23,20180925,68.5,34.5,20,5.5,20180903,20180903,20180903,144.9,7.1,101.2,4.9,20180908,20180909,1.6,5.7,11.1,270,270,20180905,20180906,70,5.1,3,218.7,58.6,470.96,,,,,,14.3,6.8,20180925,23.5,23.1,23.4,23.4,23.6,24,24.3,24.2,21.2,17.3
108,서울,2018-10,13.1,18.6,8.5,25.6,.7,20181004,20181030,1008.6,1018.9,1027.7,1001,20181020,20181006,8.9,18.9,3.6,20181006,20181030,4.6,59,16,20181017,120.5,55.5,10.5,3,20181006,20181006,20181005,109.1,5.2,76.3,3.6,20181003,20181003,1.5,6.1,13.8,270,270,20181001,20181028,290,3.7,2,241.9,69.43,403.34,,,,,,4.1,-3.6,20181030,14,14.6,15.4,16.1,16.7,17.6,19.6,20.8,20.7,18.2
108,서울,2018-11,7.8,13.2,3.6,19.4,-3.1,20181104,20181123,1013.1,1023.7,1030.6,1004.7,20181123,20181108,6.3,15.4,1.4,20181108,20181128,-1,58,12,20181128,79.1,64,,,20181108,,,71.1,3.7,49.9,2.6,20181104,20181104,1.4,5.6,11.5,270,290,20181122,20181109,290,4,2.4,177.6,58.13,265.35,8.8,8.8,8.8,20181124,20181124,-.3,-8.6,20181123,7.1,8.3,9.1,9.9,10.6,11.7,14.4,16.4,18.9,18.4
108,서울,2018-12,-.6,4.1,-4.7,13.5,-14.4,20181203,20181228,1016.8,1027.8,1039.7,1013.7,20181231,20181203,3.1,15.1,.5,20181203,20181227,-11.6,46,16,20181231,16.4,9.5,,,20181203,,,56.5,2.9,39.6,2,20181223,20181223,1.8,5.9,13.3,290,320,20181207,20181207,290,3.8,2.3,199.9,66.92,253.64,1.7,1.7,2.1,20181213,20181213,-8.8,-16.3,20181230,0,.8,1.7,2.8,3.7,5.1,8.5,11.4,16.4,17.6
108,서울,2019-01,-.9,4.1,-5.1,8.5,-10.1,20190119,20190116,1015.4,1026.4,1037.1,1017.7,20190103,20190123,2.7,6,.9,20190120,20190131,-12,46,11,20190124,0,0,,,20190128,,,63.3,3.3,44.3,2.3,20190128,20190128,1.8,6.8,12,320,340,20190128,20190108,290,3.1,1.9,215,70.01,285.25,,,,,,-11.1,-16.3,20190109,-.4,-.7,-.4,.1,.7,1.8,4.8,7.6,13.5,16.5
108,서울,2019-02,1,6,-3.2,14.5,-10.2,20190223,20190208,1013.7,1024.5,1036.2,1008,20190212,20190203,3.2,8.4,.9,20190203,20190214,-10.1,47,15,20190223,23.8,16,,,20190203,,,71.1,4.2,49.7,3,20190226,20190223,1.8,5.5,10,320,290,20190207,20190207,290,4.8,2.7,190.5,62.98,319.96,3.3,3.3,6.7,20190219,20190219,-7.8,-14.5,20190201,1.6,1.2,1.3,1.5,1.7,1.9,3.9,6.1,11.5,15.1
108,서울,2019-03,7.1,12.4,2.7,17.6,-1.7,20190326,20190314,1006.6,1017.1,1026.3,999.6,20190308,20190321,5.1,11.6,1.5,20190321,20190313,-3.4,51,10,20190309,26.8,16.5,,,20190320,,,109.2,5.6,76.5,3.9,20190326,20190329,2.1,7.2,14.9,320,340,20190313,20190313,270,4.7,3.2,203.8,54.99,417.72,,,,,,-2.6,-8.4,20190314,8.2,7.1,7.2,7,6.8,6.9,6.8,7.5,10.5,13.9
108,서울,2019-04,12.1,17.6,7.2,28.2,.3,20190422,20190401,1004.8,1015.1,1025.1,1003.6,20190403,20190424,7.2,17.7,1.9,20190424,20190401,.7,51,10,20190416,47.3,17.4,3.8,1.2,20190409,20190409,20190425,147.9,8.2,103.4,5.8,20190416,20190416,1.9,7.3,12.8,320,320,20190414,20190414,290,4.9,2.9,221.6,56.13,502.12,,,,,,1.6,-6.7,20190401,14,12.6,12.3,11.8,11.4,11.2,10.3,10.1,10.8,13.1
108,서울,2019-05,19.4,25.6,13.7,33.4,8.4,20190524,20190507,1001.6,1011.5,1019.7,999.8,20190504,20190527,10.2,22.8,2.8,20190519,20190506,6.4,47,12,20190506,37.8,22,6.1,2.2,20190519,20190520,20190520,230.1,10.1,161.3,7.1,20190505,20190505,2.1,6.1,12.3,230,290,20190520,20190520,270,3.8,1.2,314,71.4,701.39,,,,,,8.2,-.2,20190507,24.3,20.9,20.2,19.2,18.3,17.8,15.6,14.2,12.1,12.9
108,서울,2019-06,22.5,27.7,18.1,32.8,14.1,20190625,20190602,997.2,1007,1016.1,994.3,20190625,20190629,16.1,25.2,7,20190627,20190602,13.8,61,22,20190602,74,35.3,12.1,4.7,20190607,20190607,20190618,178.8,8.8,124.9,6.2,20190624,20190624,1.7,5.3,9.9,270,320,20190615,20190603,290,5.4,3.4,235.1,53.18,589.02,,,,,,14.2,7.3,20190602,26.5,24.4,23.9,23.2,22.4,22.1,19.8,18.1,14.2,13.3
108,서울,2019-07,25.9,30.1,22.7,36.1,19.3,20190706,20190710,996.2,1005.9,1012.2,997.7,20190717,20190720,22.6,33.2,12.3,20190725,20190707,19.1,69,24,20190706,194.4,62.3,26.3,11.9,20190731,20190731,20190731,144.2,9.5,101,6.7,20190706,20190706,1.8,5.9,11.8,200,180,20190730,20190730,200,7.2,5.3,150.1,33.44,426.99,,,,,,20.2,13.6,20190705,28.4,27,26.5,25.8,25.2,25,22.9,21.1,16.4,14.2
